Country,Rank,2000,2008,2015,2023,abs_change,pct_change,risk_label,predicted_risk,confidence
Belarus,1,2.5,2.5,2.5,2.5,,,Low,Low,1.0
Bosnia & Herzegovina,1,9.4,6.5,5.3,2.5,,,Low,Low,1.0
Chile,1,2.5,2.5,2.5,2.5,,,Low,Low,1.0
China,1,13.4,7.1,2.5,2.5,,,Low,Low,1.0
Croatia,1,2.5,2.5,2.5,2.5,,,Low,Low,1.0
Estonia,1,2.5,2.5,2.5,2.5,,,Low,Low,1.0
Georgia,1,12.1,6.6,2.5,2.5,,,Low,Low,1.0
Hungary,1,6.7,5.6,5.0,2.5,,,Low,Low,1.0
Kuwait,1,2.5,2.5,2.5,2.5,,,Low,Low,1.0
Latvia,1,2.5,2.5,2.5,2.5,,,Low,Low,1.0
Lithuania,1,7.6,5.1,2.5,2.5,,,Low,Low,1.0
Moldova (Republic of),1,18.6,17.0,2.5,2.5,,,Low,Low,1.0
Montenegro,1,,5.2,2.5,2.5,,,Low,Low,1.0
North Macedonia,1,7.5,5.3,5.3,2.5,,,Low,Low,1.0
Romania,1,7.9,5.8,5.1,2.5,,,Low,Low,1.0
Serbia,1,,5.8,2.5,2.5,,,Low,Low,1.0
Slovakia,1,7.2,5.7,5.7,2.5,,,Low,Low,1.0
Türkiye,1,10.1,5.7,2.5,2.5,,,Low,Low,1.0
United Arab Emirates,1,2.5,6.8,5.6,2.5,,,Low,Low,1.0
Uruguay,1,7.6,5.3,2.5,2.5,,,Low,Low,1.0
Uzbekistan,21,24.2,14.9,5.9,5.0,-0.9,-15.3,Low,Low,1.0
Costa Rica,22,6.9,2.5,2.5,5.1,,,Low,Low,1.0
Bulgaria,23,8.6,7.7,7.3,5.4,-1.9,-26.0,Low,Low,1.0
Kazakhstan,24,11.3,11.0,5.7,5.5,-0.2,-3.5,Low,Low,1.0
Armenia,25,19.2,11.7,6.3,5.6,-0.7,-11.1,Low,Low,1.0
Russian Federation,26,10.2,5.8,6.3,5.8,-0.5,-7.9,Low,Low,1.0
Tunisia,27,10.3,7.4,6.4,5.9,-0.5,-7.8,Low,Low,1.0
Mexico,28,10.2,9.9,6.7,6.0,-0.7,-10.4,Low,Low,1.0
Paraguay,28,11.8,10.1,5.1,6.0,0.9,17.6,Low,Low,1.0
Albania,30,16.4,15.5,8.8,6.1,-2.7,-30.7,Low,Low,1.0
Argentina,31,6.8,5.5,5.3,6.4,1.1,20.8,Low,Low,1.0
Brazil,32,11.7,6.8,5.4,6.7,1.3,24.1,Low,Low,1.0
Algeria,33,14.7,11.1,8.5,6.8,-1.7,-20.0,Low,Low,1.0
Azerbaijan,34,24.9,15.0,9.3,6.9,-2.4,-25.8,Low,Low,1.0
Colombia,35,11.0,10.2,7.5,7.0,-0.5,-6.7,Low,Low,1.0
Peru,36,20.6,14.0,7.7,7.2,-0.5,-6.5,Low,Low,1.0
Saudi Arabia,37,12.3,10.6,9.1,7.3,-1.8,-19.8,Low,Low,1.0
Jamaica,38,8.5,8.6,8.6,7.5,-1.1,-12.8,Low,Low,1.0
Kyrgyzstan,38,17.5,12.9,9.1,7.5,-1.6,-17.6,Low,Low,1.0
Mongolia,38,29.9,16.7,7.4,7.5,0.1,1.4,Low,Low,1.0
Iran (Islamic Republic of),41,13.7,8.8,7.7,7.7,0.0,0.0,Low,Low,1.0
Panama,42,18.6,13.0,8.7,7.9,-0.8,-9.2,Low,Low,1.0
El Salvador,43,14.7,12.0,9.8,8.1,-1.7,-17.3,Low,Low,1.0
Ukraine,44,13.0,7.1,7.1,8.2,1.1,15.5,Low,Low,1.0
Oman,45,14.8,11.2,11.2,8.3,-2.9,-25.9,Low,Low,1.0
Dominican Republic,46,15.1,13.9,9.4,8.6,-0.8,-8.5,Low,Low,1.0
Morocco,47,15.8,12.2,9.1,9.0,-0.1,-1.1,Low,Low,1.0
Guyana,48,17.2,15.1,11.3,9.3,-2.0,-17.7,Low,Low,1.0
Fiji,49,9.3,8.6,10.4,9.7,-0.7,-6.7,Low,Low,1.0
Turkmenistan,50,20.3,14.5,11.4,10.3,-1.1,-9.6,Moderate,Moderate,1.0
Suriname,51,15.1,11.0,10.6,10.4,-0.2,-1.9,Moderate,Moderate,1.0
Thailand,51,18.7,12.2,9.4,10.4,1.0,10.6,Moderate,Moderate,1.0
Trinidad & Tobago,53,11.0,10.7,10.7,10.8,0.1,0.9,Moderate,Moderate,1.0
Viet Nam,54,26.1,20.1,14.5,11.4,-3.1,-21.4,Moderate,Moderate,1.0
Cabo Verde,55,15.7,12.4,14.6,12.4,-2.2,-15.1,Moderate,Moderate,1.0
Malaysia,56,15.4,13.7,12.0,12.5,0.5,4.2,Moderate,Moderate,1.0
Egypt,57,16.4,16.9,15.2,12.8,-2.4,-15.8,Moderate,Moderate,1.0
Nicaragua,58,22.3,17.5,14.6,13.0,-1.6,-11.0,Moderate,Moderate,1.0
South Africa,58,18.0,16.8,13.9,13.0,-0.9,-6.5,Moderate,Moderate,1.0
Sri Lanka,60,21.7,17.6,17.1,13.3,-3.8,-22.2,Moderate,Moderate,1.0
Mauritius,61,15.4,13.9,13.5,13.6,0.1,0.7,Moderate,Moderate,1.0
Ghana,62,28.5,22.2,15.7,13.7,-2.0,-12.7,Moderate,Moderate,1.0
Tajikistan,62,40.1,29.9,16.9,13.7,-3.2,-18.9,Moderate,Moderate,1.0
Iraq,64,23.6,20.3,16.5,13.8,-2.7,-16.4,Moderate,Moderate,1.0
Ecuador,65,19.7,18.1,11.7,14.5,2.8,23.9,Moderate,Moderate,1.0
Philippines,66,25.0,19.1,18.3,14.8,-3.5,-19.1,Moderate,Moderate,1.0
Cambodia,67,41.4,25.6,19.0,14.9,-4.1,-21.6,Moderate,Moderate,1.0
Honduras,67,22.0,19.2,15.0,14.9,-0.1,-0.7,Moderate,Moderate,1.0
Nepal,69,37.2,29.0,21.3,15.0,-6.3,-29.6,Moderate,Moderate,1.0
Senegal,69,34.3,21.8,18.0,15.0,-3.0,-16.7,Moderate,Moderate,1.0
Bolivia (Plurinational State of),71,27.6,22.1,14.7,15.6,,,Moderate,Moderate,1.0
Libya,72,16.6,12.8,18.5,16.1,-2.4,-13.0,Moderate,Moderate,1.0
Myanmar,72,40.2,29.7,17.3,16.1,-1.2,-6.9,Moderate,Moderate,1.0
Lao PDR,74,44.3,30.4,21.8,16.3,-5.5,-25.2,Moderate,Moderate,1.0
Eswatini,75,24.7,25.0,19.3,17.3,-2.0,-10.4,Moderate,Moderate,1.0
Venezuela (Bolivarian Republic of),75,14.6,8.8,11.1,17.3,,,Moderate,Moderate,1.0
Indonesia,77,26.0,28.5,21.9,17.6,-4.3,-19.6,Moderate,Moderate,1.0
Namibia,78,26.4,29.2,22.2,18.0,-4.2,-18.9,Moderate,Moderate,1.0
Cameroon,79,36.0,29.0,20.7,18.6,-2.1,-10.1,Moderate,Moderate,1.0
Gabon,80,21.0,20.2,17.3,18.7,1.4,8.1,Moderate,Moderate,1.0
Bangladesh,81,33.8,30.6,26.2,19.0,-7.2,-27.5,Moderate,Moderate,1.0
Guatemala,82,28.6,24.0,20.6,19.1,-1.5,-7.3,Moderate,Moderate,1.0
Solomon Islands,83,20.2,18.2,23.4,19.6,-3.8,-16.2,Moderate,Moderate,1.0
Gambia,84,29.2,24.9,24.3,19.7,-4.6,-18.9,Moderate,Moderate,1.0
Botswana,85,27.2,26.8,22.2,19.9,-2.3,-10.4,Moderate,Moderate,1.0
Côte d'Ivoire,86,32.5,36.0,22.1,20.6,-1.5,-6.8,Serious,Serious,1.0
Mauritania,87,30.5,18.8,22.4,21.0,-1.4,-6.2,Serious,Serious,1.0
Malawi,88,43.1,29.2,22.9,21.1,-1.8,-7.9,Serious,Serious,1.0
Togo,88,38.2,29.6,25.7,21.1,-4.6,-17.9,Serious,Serious,1.0
Kenya,90,36.7,29.5,22.5,22.0,-0.5,-2.2,Serious,Serious,1.0
Benin,91,33.9,26.4,23.3,22.6,-0.7,-3.0,Serious,Serious,1.0
Comoros,92,38.2,30.4,24.0,22.7,-1.3,-5.4,Serious,Serious,1.0
Djibouti,93,44.4,33.9,29.6,23.0,-6.6,-22.3,Serious,Serious,1.0
Tanzania (United Rep. of),94,40.7,30.2,24.6,23.2,-1.4,-5.7,Serious,Serious,1.0
Uganda,95,35.0,29.0,27.8,25.2,-2.6,-9.4,Serious,Serious,1.0
Rwanda,96,49.7,33.1,28.3,25.4,-2.9,-10.2,Serious,Serious,1.0
Burkina Faso,97,45.0,33.7,28.0,25.5,-2.5,-8.9,Serious,Serious,1.0
Mali,98,41.9,32.2,27.1,25.6,-1.5,-5.5,Serious,Serious,1.0
Angola,99,64.9,42.9,25.7,25.9,0.2,0.8,Serious,Serious,1.0
Syrian Arab Republic,100,13.9,16.2,23.9,26.1,2.2,9.2,Serious,Serious,1.0
Ethiopia,101,53.3,40.5,26.5,26.2,-0.3,-1.1,Serious,Serious,1.0
Pakistan,102,36.7,31.3,28.8,26.6,-2.2,-7.6,Serious,Serious,1.0
Sudan,103,,,28.5,27.0,-1.5,-5.3,Serious,Serious,1.0
Guinea,104,40.2,29.3,28.4,27.1,-1.3,-4.6,Serious,Serious,1.0
Papua New Guinea,105,33.5,32.9,28.5,27.4,-1.1,-3.9,Serious,Serious,1.0
DPR Korea,106,39.5,30.4,24.8,27.8,,,Serious,Serious,1.0
Congo (Republic of),107,34.6,32.4,26.2,28.0,1.8,6.9,Serious,Serious,1.0
Zimbabwe,107,35.5,30.7,27.6,28.0,0.4,1.4,Serious,Serious,1.0
Nigeria,109,39.9,31.2,27.8,28.3,0.5,1.8,Serious,Serious,1.0
Zambia,110,53.2,44.9,33.2,28.5,-4.7,-14.2,Serious,Serious,1.0
India,111,38.4,35.5,29.2,28.7,-0.5,-1.7,Serious,Serious,1.0
Timor-Leste,112,,46.5,35.9,29.9,-6.0,-16.7,Serious,Serious,1.0
Mozambique,113,48.2,35.6,37.0,30.5,-6.5,-17.6,Serious,Serious,1.0
Afghanistan,114,49.6,36.5,30.4,30.6,0.2,0.7,Serious,Serious,1.0
Haiti,115,40.3,40.2,30.1,31.1,1.0,3.3,Serious,Serious,1.0
Sierra Leone,116,57.4,45.4,32.8,31.3,-1.5,-4.6,Serious,Serious,1.0
Liberia,117,48.0,36.4,32.9,32.2,-0.7,-2.1,Serious,Serious,1.0
Guinea-Bissau,118,37.7,29.6,33.3,33.0,-0.3,-0.9,Serious,Serious,1.0
Chad,119,50.6,49.9,40.1,34.6,-5.5,-13.7,Serious,Serious,1.0
Niger,120,53.3,39.5,35.2,35.1,-0.1,-0.3,Alarming,Alarming,1.0
Lesotho,121,32.5,27.8,30.6,35.5,4.9,16.0,Alarming,Alarming,1.0
Dem. Rep. of the Congo,122,46.3,40.2,36.4,35.7,-0.7,-1.9,Alarming,Alarming,1.0
Yemen,123,41.4,37.8,42.1,39.9,-2.2,-5.2,Alarming,Alarming,1.0
Madagascar,124,42.4,36.6,38.9,41.0,2.1,5.4,Alarming,Alarming,1.0
Central African Republic,125,48.2,43.7,44.0,42.3,-1.7,-3.9,Alarming,Alarming,1.0
